"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v8.nlogo"
"experiment200"
"11/03/2015 17:19:43:644 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","confirmationSkeptic","_network_type","proportionSkeptic","discovery_type","_nodes","_log","_exportMovie","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","31","201","114","6","104","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","32","201","118","6","108","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","33","201","122","6","111","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","34","201","127","6","115","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","35","201","132","6","120","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","36","201","135","6","124","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","37","201","140","6","128","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","26","201","37","40","20","1","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","38","201","144","6","134","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","27","201","38","43","19","1","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","39","201","149","6","139","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","40","201","154","6","144","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","41","201","160","6","151","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","42","201","164","6","158","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","28","201","41","46","18","1","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","43","201","171","6","167","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","44","201","177","6","177","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","29","201","42","49","17","1","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","45","201","182","6","184","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","30","201","44","54","16","1","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","46","201","186","6","189","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","47","201","191","5","193","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","48","201","197","4","196","0.5","1"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","49","201","202","3","198","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","31","201","49","59","15","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","32","201","53","64","14","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","33","201","57","71","13","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","34","201","61","77","12","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","35","201","64","84","11","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","36","201","71","93","11","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","37","201","76","98","11","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","38","201","81","105","11","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","39","201","87","113","10","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","40","201","93","120","9","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","41","201","101","128","7","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","42","201","103","136","6","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","43","201","105","146","5","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","44","201","109","156","5","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","45","201","112","163","5","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","46","201","117","171","5","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","0","201","0","1","1","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","47","201","120","179","5","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","1","201","0","2","2","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","2","201","0","3","3","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","48","201","123","184","5","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","3","201","3","4","5","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","49","201","126","190","5","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","50","201","128","194","5","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","51","201","129","196","5","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","4","201","4","5","7","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","0","201","0","1","1","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","1","201","1","2","2","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","5","201","5","6","9","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","2","201","2","3","3","1","1"
