"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment"
"11/05/2015 09:38:09:868 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"12","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","5","1","3","1","1"
"11","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","5","4","2","0.5","0.5"
"13","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","0.5","1"
"14","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","0.2","0.2"
"12","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","8","2","4","1","1"
"13","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","0.5","1"
"11","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","8","5","2","0.5","0.5"
"13","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","4","4","2","0.5","1"
"14","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","0.2","0.2"
"14","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","1","3","3","0.2","0.2"
"13","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","7","5","2","0.5","1"
"14","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","1","4","3","0.2","0.2"
"14","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","2","6","4","0.2","0.2"
"13","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","11","6","1","0.5","1"
"14","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","4","7","4","0.2","0.2"
