BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment2b_distrust300sw_lazyproportion50_lazylazy,,,,,,,,,,,,,,,,,
08/19/2016 11:22:50:446 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
35,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,61,301,178,123,1,1,244,155,136,164
45,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,69,301,213,88,1,1,368,161,136,164
94,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,50,301,281,20,0.5,1,442,163,136,164
65,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,87,301,71,230,1,1,546,189,136,164
59,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,86,301,69,232,0.5,0.5,655,248,136,164
79,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,52,301,89,212,1,1,322,169,138,162
53,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,79,301,103,198,1,1,427,170,138,162
98,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,51,301,221,80,1,0.5,440,193,138,162
95,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,67,301,40,261,0.5,1,422,201,138,162
11,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,67,301,185,116,0.3333333333,1,317,156,139,161
62,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,64,301,33,268,0.5,1,442,201,139,161
37,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,49,301,35,266,0.5,1,502,247,139,161
15,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,42,301,94,207,1,1,196,153,140,160
84,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,55,301,126,175,1,0.3333333333,223,154,140,160
13,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,67,301,228,73,0.5,1,371,160,140,160
23,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,65,301,50,251,0.5,1,292,185,142,158
93,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,57,301,28,273,0.5,0.5,320,189,143,157
83,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,44,301,283,18,0.25,0.5,292,175,144,156
30,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,58,301,217,84,1,1,403,202,146,154
